date	time	millis	speed	lat	lon	altitude
230414	82802500	1398245285010.435	34.06	51.044934999999995	13.777610000000001	117.74
230414	82802500	1398245285022.156	34.06	51.044934999999995	13.777610000000001	117.74
230414	82802500	1398245285041.6309	34.06	51.044938	13.777597	117.74
230414	82802600	1398245285057.814	34.13	51.044938	13.777597	117.77
230414	82802600	1398245285070.4292	34.13	51.044938	13.777597	117.77
230414	82802600	1398245285090.4182	34.13	51.044938	13.777597	117.77
230414	82802600	1398245285101.717	34.13	51.044938	13.777597	117.77
230414	82802600	1398245285129.272	34.13	51.044942	13.777584	117.77
230414	82802700	1398245285143.156	34.2299	51.044942	13.777584	117.79
230414	82802700	1398245285159.6328	34.2299	51.044942	13.777584	117.79
230414	82802700	1398245285175.51	34.2299	51.044942	13.777584	117.79
230414	82802700	1398245285192.936	34.2299	51.044942	13.777584	117.79
230414	82802700	1398245285210.927	34.2299	51.044945	13.777571	117.79
230414	82802800	1398245285230.8271	34.6	51.044945	13.777571	117.79
230414	82802800	1398245285250.449	34.6	51.044945	13.777571	117.79
230414	82802800	1398245285269.5178	34.6	51.044945	13.777571	117.79
230414	82802800	1398245285290.3918	34.6	51.044945	13.777571	117.79
230414	82802800	1398245285310.953	34.6	51.044948	13.777557999999999	117.79
230414	82802900	1398245285330.864	34.64	51.044948	13.777557999999999	117.79
230414	82802900	1398245285350.436	34.64	51.044948	13.777557999999999	117.79
230414	82802900	1398245285370.1702	34.64	51.044948	13.777557999999999	117.79
230414	82802900	1398245285390.435	34.64	51.044948	13.777557999999999	117.79
230414	82802900	1398245285410.914	34.64	51.044951	13.777545000000002	117.79
230414	82803000	1398245285433.2048	35.12	51.044951	13.777545000000002	117.79
230414	82803000	1398245285450.398	35.12	51.044951	13.777545000000002	117.79
230414	82803000	1398245285470.7659	35.12	51.044951	13.777545000000002	117.79
230414	82803000	1398245285492.7341	35.12	51.044951	13.777545000000002	117.79
230414	82803000	1398245285510.853	35.12	51.044953	13.777531	117.79
230414	82803100	1398245285530.8052	35.09	51.044953	13.777531	117.79
230414	82803100	1398245285550.415	35.09	51.044953	13.777531	117.79
230414	82803100	1398245285570.546	35.09	51.044953	13.777531	117.79
230414	82803100	1398245285590.36	35.09	51.044953	13.777531	117.79
230414	82803100	1398245285610.898	35.09	51.044957000000004	13.777517999999999	117.79
230414	82803200	1398245285630.8992	35.2	51.044957000000004	13.777517999999999	117.74
230414	82803200	1398245285650.4421	35.2	51.044957000000004	13.777517999999999	117.74
230414	82803200	1398245285673.065	35.2	51.044957000000004	13.777517999999999	117.74
230414	82803200	1398245285690.319	35.2	51.044957000000004	13.777517999999999	117.74
230414	82803200	1398245285710.9092	35.2	51.044959999999996	13.777505	117.74
230414	82803300	1398245285732.13	35.26	51.044959999999996	13.777505	117.71
230414	82803300	1398245285750.3418	35.26	51.044959999999996	13.777505	117.71
230414	82803300	1398245285763.819	35.26	51.044959999999996	13.777505	117.71
230414	82803300	1398245285789.294	35.26	51.044959999999996	13.777505	117.71
230414	82803300	1398245285801.555	35.26	51.044963	13.777492	117.71
230414	82803400	1398245285821.5771	35.36	51.044963	13.777492	117.68
230414	82803400	1398245285836.2	35.36	51.044963	13.777492	117.68
230414	82803400	1398245285857.2449	35.36	51.044963	13.777492	117.68
230414	82803400	1398245285881.1182	35.36	51.044963	13.777492	117.68
230414	82803400	1398245285896.6611	35.36	51.044965999999995	13.777479000000001	117.68
230414	82803500	1398245285921.0571	35.6599	51.044965999999995	13.777479000000001	117.65
230414	82803500	1398245285932.553	35.6599	51.044965999999995	13.777479000000001	117.65
230414	82803500	1398245285950.498	35.6599	51.044965999999995	13.777479000000001	117.65
230414	82803500	1398245285970.499	35.6599	51.044965999999995	13.777479000000001	117.65
230414	82803500	1398245285990.9302	35.6599	51.044969	13.777466	117.65
230414	82803600	1398245286010.843	35.7299	51.044969	13.777466	117.64
230414	82803600	1398245286026.338	35.7299	51.044969	13.777466	117.64
230414	82803600	1398245286036.14	35.7299	51.044969	13.777466	117.64
230414	82803600	1398245286057.234	35.7299	51.044969	13.777466	117.64
230414	82803600	1398245286092.1008	35.7299	51.044971999999994	13.777453	117.64
230414	82803700	1398245286110.825	36.26	51.044971999999994	13.777453	117.61
230414	82803700	1398245286128.085	36.26	51.044971999999994	13.777453	117.61
230414	82803700	1398245286141.5762	36.26	51.044971999999994	13.777453	117.61
230414	82803700	1398245286156.931	36.26	51.044971999999994	13.777453	117.61
230414	82803700	1398245286170.9329	36.26	51.044975	13.777439999999999	117.61
230414	82803800	1398245286201.1008	35.95	51.044975	13.777439999999999	117.61
230414	82803800	1398245286216.096	35.95	51.044975	13.777439999999999	117.61
230414	82803800	1398245286242.72	35.95	51.044975	13.777439999999999	117.61
230414	82803800	1398245286258.106	35.95	51.044975	13.777439999999999	117.61
230414	82803800	1398245286292.2158	35.95	51.044979	13.777426	117.61
230414	82803900	1398245286310.854	35.97	51.044979	13.777426	117.6
230414	82803900	1398245286330.095	35.97	51.044979	13.777426	117.6
230414	82803900	1398245286342.122	35.97	51.044979	13.777426	117.6
230414	82803900	1398245286358.114	35.97	51.044979	13.777426	117.6
230414	82803900	1398245286392.205	35.97	51.044982	13.777413000000001	117.6
230414	82804000	1398245286410.862	36.1	51.044982	13.777413000000001	117.59
230414	82804000	1398245286430.4758	36.1	51.044982	13.777413000000001	117.59
230414	82804000	1398245286442.678	36.1	51.044982	13.777413000000001	117.59
230414	82804000	1398245286459.384	36.1	51.044982	13.777413000000001	117.59
230414	82804000	1398245286478.481	36.1	51.044985	13.7774	117.59
